,clstr_a,clstr_b,movie_id,cos_smltd,vecino_id
0.0,4.0,4.0,315,0.18115976063899844,173962
0.0,4.0,4.0,315,0.17515218651898118,47962
0.0,4.0,4.0,315,0.17016642023645595,115877
0.0,4.0,4.0,315,0.158369085857249,92673
0.0,4.0,4.0,315,0.15831303971745203,87335
1.0,4.0,4.0,5879,0.1146047563204089,45698
1.0,4.0,4.0,5879,0.11454237007627706,5767
1.0,4.0,4.0,5879,0.11451336270291525,243860
1.0,4.0,4.0,5879,0.11315035183763454,66956
1.0,4.0,4.0,5879,0.1048927413119686,72083
2.0,4.0,4.0,10112,0.1212432415574578,106176
2.0,4.0,4.0,10112,0.12042267911013287,72214
2.0,4.0,4.0,10112,0.11297487332792264,105757
2.0,4.0,4.0,10112,0.10897433170490725,24085
2.0,4.0,4.0,10112,0.10779201343241974,38323
3.0,4.0,4.0,44495,0.15583158413023254,5767
3.0,4.0,4.0,44495,0.13921993250884085,106623
3.0,4.0,4.0,44495,0.12468067208408042,126781
3.0,4.0,4.0,44495,0.12176972226125791,42718
3.0,4.0,4.0,44495,0.12154019497012475,128364
4.0,4.0,4.0,4837,0.16963060816825043,11912
4.0,4.0,4.0,4837,0.12289458462708203,61105
4.0,4.0,4.0,4837,0.12117660858579077,107705
4.0,4.0,4.0,4837,0.11765892057948503,81309
4.0,4.0,4.0,4837,0.1051300427794488,44256
5.0,4.0,4.0,13320,0.15814250209725375,66953
5.0,4.0,4.0,13320,0.1291231761757422,31913
5.0,4.0,4.0,13320,0.11669477415751273,68146
5.0,4.0,4.0,13320,0.10193646044057775,93863
5.0,4.0,4.0,13320,0.0998582924722253,180514
6.0,4.0,4.0,164,0.1502032379906513,2363
6.0,4.0,4.0,164,0.1442758067984458,31134
6.0,4.0,4.0,164,0.09977390873305617,39554
6.0,4.0,4.0,164,0.09586392673322155,112234
6.0,4.0,4.0,164,0.08778919618417502,31913
7.0,4.0,4.0,11113,0.12607072508500436,42244
7.0,4.0,4.0,11113,0.12277728378312107,42258
7.0,4.0,4.0,11113,0.10916796915323619,42718
7.0,4.0,4.0,11113,0.10717183769281766,73203
7.0,4.0,4.0,11113,0.10516813805820746,31319
8.0,4.0,4.0,17281,0.1135880080620791,69912
8.0,4.0,4.0,17281,0.10919512353160948,20975
8.0,4.0,4.0,17281,0.10162709834622857,76000
8.0,4.0,4.0,17281,0.09859533472570468,86666
8.0,4.0,4.0,17281,0.09425104783311276,161088
9.0,4.0,4.0,64382,0.2666571409807947,244182
9.0,4.0,4.0,64382,0.19674317150585724,30901
9.0,4.0,4.0,64382,0.11431347332278986,38925
9.0,4.0,4.0,64382,0.10480163753643051,44495
9.0,4.0,4.0,64382,0.10353078972003381,95077
10.0,4.0,4.0,220,0.1714040643663859,84050
10.0,4.0,4.0,220,0.15222192973661208,66180
10.0,4.0,4.0,220,0.1479890274914371,33319
10.0,4.0,4.0,220,0.14579167072071997,74746
10.0,4.0,4.0,220,0.1442391389658625,61581
11.0,4.0,4.0,11114,0.10944981468368722,72214
11.0,4.0,4.0,11114,0.09413301581941684,73267
11.0,4.0,4.0,11114,0.09287517340977688,31901
11.0,4.0,4.0,11114,0.08569264065246383,38666
11.0,4.0,4.0,11114,0.08453024769923632,124423
12.0,4.0,4.0,221,0.12882504402397668,5646
12.0,4.0,4.0,221,0.12068636728916367,134732
12.0,4.0,4.0,221,0.1108993067572312,86482
12.0,4.0,4.0,221,0.10428812923911356,22029
12.0,4.0,4.0,221,0.09609863976984666,88937
13.0,4.0,4.0,8074,0.14865470885348586,53197
13.0,4.0,4.0,8074,0.13874774673619542,48211
13.0,4.0,4.0,8074,0.1296221235717117,115877
13.0,4.0,4.0,8074,0.11100630363519164,63187
13.0,4.0,4.0,8074,0.11033363327541612,224089
14.0,4.0,4.0,5769,0.27794113966300643,34752
14.0,4.0,4.0,5769,0.1329872181208288,73604
