,clstr_a,clstr_b,movie_id,cos_smltd,vecino_id
0.0,4.0,1.0,103,0.15291420910882025,3116
0.0,4.0,1.0,103,0.14165840743063202,36949
0.0,4.0,1.0,103,0.12494257392800397,4578
0.0,4.0,1.0,103,0.12345537952865673,167556
0.0,4.0,1.0,103,0.11474872509398182,67657
1.0,4.0,1.0,576,0.13731463081301046,42759
1.0,4.0,1.0,576,0.12578158307190707,41857
1.0,4.0,1.0,576,0.11812214264363646,44697
1.0,4.0,1.0,576,0.11385038561128764,43141
1.0,4.0,1.0,576,0.11245330069208584,86363
2.0,4.0,1.0,51242,0.18873069198545978,18209
2.0,4.0,1.0,51242,0.17550700993870977,27409
2.0,4.0,1.0,51242,0.1545422715421445,269
2.0,4.0,1.0,51242,0.15079375088648678,30298
2.0,4.0,1.0,51242,0.1410990823292736,68882
3.0,4.0,1.0,10363,0.2596027933360438,11222
3.0,4.0,1.0,10363,0.15713810691500335,40141
3.0,4.0,1.0,10363,0.15381308557945034,20330
3.0,4.0,1.0,10363,0.1285072078731239,42995
3.0,4.0,1.0,10363,0.12295743953411681,40485
4.0,4.0,1.0,935,0.17477253441162727,52810
4.0,4.0,1.0,935,0.15390829674668952,4949
4.0,4.0,1.0,935,0.13721888546527816,53045
4.0,4.0,1.0,935,0.12843214858611138,14801
4.0,4.0,1.0,935,0.1275244237644287,37112
5.0,4.0,1.0,31417,0.17927656138491954,40139
5.0,4.0,1.0,31417,0.13560032012207435,42664
5.0,4.0,1.0,31417,0.13544434794216287,29452
5.0,4.0,1.0,31417,0.13202395651725046,127186
5.0,4.0,1.0,31417,0.13108647342407015,27699
6.0,4.0,1.0,426,0.17092375953935085,72903
6.0,4.0,1.0,426,0.15930560672420965,110823
6.0,4.0,1.0,426,0.14250385741384636,1847
6.0,4.0,1.0,426,0.13910000137152687,56599
6.0,4.0,1.0,426,0.1370380465916538,43344
7.0,4.0,1.0,567,0.22907772929693274,42600
7.0,4.0,1.0,567,0.16685588839310778,42448
7.0,4.0,1.0,567,0.14727662909954412,61462
7.0,4.0,1.0,567,0.14062259619199824,11482
7.0,4.0,1.0,567,0.13356255865140182,185147
8.0,4.0,1.0,213,0.21123748227702988,22527
8.0,4.0,1.0,213,0.1527929636244255,114609
8.0,4.0,1.0,213,0.13320690863366552,62675
8.0,4.0,1.0,213,0.12820245099012612,82098
8.0,4.0,1.0,213,0.12650035524808004,96793
9.0,4.0,1.0,284,0.1782207571428078,28000
9.0,4.0,1.0,284,0.17068030507306453,46010
9.0,4.0,1.0,284,0.15600848549215696,19413
9.0,4.0,1.0,284,0.15036621116228943,28100
9.0,4.0,1.0,284,0.15021443017313055,53712
10.0,4.0,1.0,4808,0.21383091793762588,101422
10.0,4.0,1.0,4808,0.19088518823281286,46568
10.0,4.0,1.0,4808,0.18554723903187836,85442
