,clstr_a,clstr_b,movie_id,cos_smltd,vecino_id
0.0,2.0,3.0,8224,0.13301571207684898,48415
0.0,2.0,3.0,8224,0.12516092485233463,15653
0.0,2.0,3.0,8224,0.11947042673664585,15824
0.0,2.0,3.0,8224,0.11930970203568755,16143
0.0,2.0,3.0,8224,0.11927812726816758,4513
1.0,2.0,3.0,9535,0.30355603344474397,9932
1.0,2.0,3.0,9535,0.13234298483523554,137400
1.0,2.0,3.0,9535,0.10195133479922601,149763
1.0,2.0,3.0,9535,0.10074342560644109,168530
1.0,2.0,3.0,9535,0.09723659016950811,42185
2.0,2.0,3.0,603,0.18634550420479284,13017
2.0,2.0,3.0,603,0.1801075614653456,16911
2.0,2.0,3.0,603,0.14605129832564234,604
2.0,2.0,3.0,603,0.1455106287191234,19995
2.0,2.0,3.0,603,0.14429348654417284,13448
3.0,2.0,3.0,564,0.1740303556371292,1735
3.0,2.0,3.0,564,0.12773894637106512,1734
3.0,2.0,3.0,564,0.12242152499115345,25778
3.0,2.0,3.0,564,0.10977375291989887,227735
3.0,2.0,3.0,564,0.10190610635269359,11377
4.0,2.0,3.0,1893,0.3297998634705692,1895
4.0,2.0,3.0,1893,0.23003675906287502,1894
4.0,2.0,3.0,1893,0.12555327870630092,16353
4.0,2.0,3.0,1893,0.10833299580161357,193502
4.0,2.0,3.0,1893,0.10422616025022927,13515
5.0,2.0,3.0,817,0.26930879899947685,818
5.0,2.0,3.0,817,0.11953180951444732,1991
5.0,2.0,3.0,817,0.11916937045928483,7092
5.0,2.0,3.0,817,0.11533046748693138,10808
5.0,2.0,3.0,817,0.11165939166307433,25778
6.0,2.0,3.0,37135,0.3841161759738441,15657
6.0,2.0,3.0,37135,0.18256007863155366,49521
6.0,2.0,3.0,37135,0.16499090796641244,34067
6.0,2.0,3.0,37135,0.1552422844327876,9456
6.0,2.0,3.0,37135,0.15208978019875694,94348
7.0,2.0,3.0,2105,0.21205903682123756,56909
7.0,2.0,3.0,2105,0.18577557806569817,11887
7.0,2.0,3.0,2105,0.172208175105593,187017
7.0,2.0,3.0,2105,0.17152299629012724,49018
7.0,2.0,3.0,2105,0.16791385397816383,209049
8.0,2.0,3.0,10208,0.15645041261548692,145220
8.0,2.0,3.0,10208,0.13323954059537504,41154
8.0,2.0,3.0,10208,0.12284376582255727,18489
8.0,2.0,3.0,10208,0.11853072737825512,84575
8.0,2.0,3.0,10208,0.11535757859148987,11119
9.0,2.0,3.0,2667,0.2377606142500721,139038
9.0,2.0,3.0,2667,0.1293596583545014,82507
9.0,2.0,3.0,2667,0.09911710828651105,11406
9.0,2.0,3.0,2667,0.09911710828651105,20106
9.0,2.0,3.0,2667,0.09911710828651105,2195
10.0,2.0,3.0,9825,0.24017561477305235,44037
10.0,2.0,3.0,9825,0.15025058232689134,30178
10.0,2.0,3.0,9825,0.12989224544582423,10845
10.0,2.0,3.0,9825,0.12844932394940442,249070
10.0,2.0,3.0,9825,0.12612851146053983,17038
11.0,2.0,3.0,332,0.15638738309282585,20441
11.0,2.0,3.0,332,0.1298142203277235,19766
11.0,2.0,3.0,332,0.11793293235870964,61410
11.0,2.0,3.0,332,0.11026393006812071,49521
11.0,2.0,3.0,332,0.10988774648445634,56292
12.0,2.0,3.0,10366,0.29749813035423267,28510
12.0,2.0,3.0,10366,0.14933246031175484,11253
12.0,2.0,3.0,10366,0.148100120075767,136071
12.0,2.0,3.0,10366,0.11843291119720939,75629
12.0,2.0,3.0,10366,0.10860315195838005,127544
13.0,2.0,3.0,11601,0.2550945321273335,26693
13.0,2.0,3.0,11601,0.1739164277035723,280092
13.0,2.0,3.0,11601,0.13818419193141793,46441
