,clstr_a,clstr_b,movie_id,cos_smltd,vecino_id
0.0,4.0,2.0,649,0.16064814968221638,42635
0.0,4.0,2.0,649,0.15978517568821637,40652
0.0,4.0,2.0,649,0.13289067536328858,28296
0.0,4.0,2.0,649,0.1315028044476295,92287
0.0,4.0,2.0,649,0.1295943948728893,57305
1.0,4.0,2.0,5967,0.14854032742318468,42635
1.0,4.0,2.0,5967,0.14224534084536133,42456
1.0,4.0,2.0,5967,0.12739678454082998,1162
1.0,4.0,2.0,5967,0.12129822761744716,51992
1.0,4.0,2.0,5967,0.1200215678572018,29396
2.0,4.0,2.0,8069,0.10946525427783327,29333
2.0,4.0,2.0,8069,0.10472860430152717,93934
2.0,4.0,2.0,8069,0.09654112402535539,161827
2.0,4.0,2.0,8069,0.09393333711352762,48885
2.0,4.0,2.0,8069,0.09379286811054613,11916
3.0,4.0,2.0,753,0.317881442037729,43256
3.0,4.0,2.0,753,0.23861944383250927,43095
3.0,4.0,2.0,753,0.17464259737768567,132166
3.0,4.0,2.0,753,0.173568248055606,29491
3.0,4.0,2.0,753,0.16524918530417573,20531
4.0,4.0,2.0,52633,0.17433236311305464,38606
4.0,4.0,2.0,52633,0.16657946717656374,36886
4.0,4.0,2.0,52633,0.16119278765442857,11020
4.0,4.0,2.0,52633,0.15550436000557832,1725
4.0,4.0,2.0,52633,0.14904134434024877,15516
5.0,4.0,2.0,41225,0.13615327716371642,100656
5.0,4.0,2.0,41225,0.1255298051105606,103199
5.0,4.0,2.0,41225,0.11967682852396289,118497
5.0,4.0,2.0,41225,0.11887549298983327,128048
5.0,4.0,2.0,41225,0.11808660901987435,5781
6.0,4.0,2.0,35206,0.12856537578228416,239
6.0,4.0,2.0,35206,0.11547388539527702,84278
6.0,4.0,2.0,35206,0.11430875517888792,86508
6.0,4.0,2.0,35206,0.10523030358989384,90944
6.0,4.0,2.0,35206,0.1012103882009541,51857
7.0,4.0,2.0,116690,0.14529115877375012,44132
7.0,4.0,2.0,116690,0.13949308463545051,42635
7.0,4.0,2.0,116690,0.1377556747619536,29333
7.0,4.0,2.0,116690,0.12814058766180667,77078
7.0,4.0,2.0,116690,0.1255219038879812,36236
8.0,4.0,2.0,10232,0.19162546763917745,92751
8.0,4.0,2.0,10232,0.18318529038712134,93934
8.0,4.0,2.0,10232,0.1739622215884865,47397
8.0,4.0,2.0,10232,0.16265162811674233,42635
8.0,4.0,2.0,10232,0.1623470618644155,4191
9.0,4.0,2.0,239,0.21268184105521823,39287
9.0,4.0,2.0,239,0.17469607985657595,84473
9.0,4.0,2.0,239,0.166268987294568,61683
9.0,4.0,2.0,239,0.16282540717802246,36522
9.0,4.0,2.0,239,0.16045834008330015,133919
10.0,4.0,2.0,1712,0.15231891248255325,77645
10.0,4.0,2.0,1712,0.14774543478177274,11897
10.0,4.0,2.0,1712,0.14349817801630493,159414
10.0,4.0,2.0,1712,0.13633593199522037,22660
10.0,4.0,2.0,1712,0.13456668960845375,105583
11.0,4.0,2.0,261,0.19008269644036,148371
11.0,4.0,2.0,261,0.18186332267598243,86168
11.0,4.0,2.0,261,0.17120344831209838,1396
11.0,4.0,2.0,261,0.1564622595024118,42691
11.0,4.0,2.0,261,0.15135214004794864,753
12.0,4.0,2.0,57575,0.2078315314194894,21323
12.0,4.0,2.0,57575,0.18313366253091964,148371
12.0,4.0,2.0,57575,0.1688113608877839,45714
12.0,4.0,2.0,57575,0.16703963049010245,113843
12.0,4.0,2.0,57575,0.16047146640456972,152846
13.0,4.0,2.0,14821,0.14813963394192997,56188
13.0,4.0,2.0,14821,0.11282246449877381,42517
13.0,4.0,2.0,14821,0.11279976001455122,110671
13.0,4.0,2.0,14821,0.10671479123033713,23999
13.0,4.0,2.0,14821,0.09698136424448787,76117
14.0,4.0,2.0,22660,0.14211447933193685,137504
14.0,4.0,2.0,22660,0.1417022545475169,10340
14.0,4.0,2.0,22660,0.14071803389346316,85827
14.0,4.0,2.0,22660,0.138345699131373,753
14.0,4.0,2.0,22660,0.13633593199522037,1712
15.0,4.0,2.0,19186,0.11520793412382656,133919
15.0,4.0,2.0,19186,0.108186060220236,18373
15.0,4.0,2.0,19186,0.10352986028975991,5618
15.0,4.0,2.0,19186,0.0999479199347889,239
15.0,4.0,2.0,19186,0.09498349900806256,15516
16.0,4.0,2.0,31102,0.15028749364510632,33665
16.0,4.0,2.0,31102,0.13903856877813037,27361
16.0,4.0,2.0,31102,0.1335624097288607,153737
16.0,4.0,2.0,31102,0.13051216807299404,64811
16.0,4.0,2.0,31102,0.12105697784924586,92287
17.0,4.0,2.0,20723,0.12599496915901587,86236
17.0,4.0,2.0,20723,0.12305130980413245,8703
17.0,4.0,2.0,20723,0.11806606191791627,70422
17.0,4.0,2.0,20723,0.10921858262858954,54008
17.0,4.0,2.0,20723,0.10479067274196059,24402
18.0,4.0,2.0,433,0.15116078798475568,49876
18.0,4.0,2.0,433,0.13527264537668007,13397
18.0,4.0,2.0,433,0.1306171106167027,39893
18.0,4.0,2.0,433,0.12639548496287673,161620
18.0,4.0,2.0,433,0.12415219860003225,43039
19.0,4.0,2.0,12335,0.14763548917258212,51044
19.0,4.0,2.0,12335,0.14505708958975871,37720
19.0,4.0,2.0,12335,0.13530505473981352,27361
19.0,4.0,2.0,12335,0.13038731337835588,1863
19.0,4.0,2.0,12335,0.12997135032086507,16520
20.0,4.0,2.0,15121,0.27618568014790806,44459
20.0,4.0,2.0,15121,0.2080463136298364,16372
20.0,4.0,2.0,15121,0.17621887796180824,25105
20.0,4.0,2.0,15121,0.15214447587369712,243984
20.0,4.0,2.0,15121,0.15214447587369712,243987
21.0,4.0,2.0,16372,0.2080463136298364,15121
21.0,4.0,2.0,16372,0.1954954508641518,13549
21.0,4.0,2.0,16372,0.18947296477246392,39925
21.0,4.0,2.0,16372,0.1767414043953529,105833
21.0,4.0,2.0,16372,0.13552348237540926,111037
22.0,4.0,2.0,343,0.20301520265051515,71520
22.0,4.0,2.0,343,0.20062403599840617,133919
22.0,4.0,2.0,343,0.19678666424213928,70555
22.0,4.0,2.0,343,0.19423010842721436,27361
22.0,4.0,2.0,343,0.1873955105114078,114354
23.0,4.0,2.0,571,0.08796938752780459,25105
23.0,4.0,2.0,571,0.08706875810699874,42634
23.0,4.0,2.0,571,0.08505582901497849,103205
23.0,4.0,2.0,571,0.08051203804861246,10297
23.0,4.0,2.0,571,0.07939969376989525,233383
24.0,4.0,2.0,13549,0.1954954508641518,16372
24.0,4.0,2.0,13549,0.1496896440597552,56379
24.0,4.0,2.0,13549,0.1405488881625103,29498
24.0,4.0,2.0,13549,0.1388570367130447,37204
24.0,4.0,2.0,13549,0.13780687888562415,85483
25.0,4.0,2.0,7340,0.14195997072585692,92751
25.0,4.0,2.0,7340,0.12533835369165136,42635
25.0,4.0,2.0,7340,0.12183119098395555,163791
25.0,4.0,2.0,7340,0.11938020636105925,39925
25.0,4.0,2.0,7340,0.11765493345292585,85765
26.0,4.0,2.0,36040,0.1500188654306779,199072
26.0,4.0,2.0,36040,0.14966503189396566,42501
26.0,4.0,2.0,36040,0.14879086622851434,42691
26.0,4.0,2.0,36040,0.14790130800418183,37204
26.0,4.0,2.0,36040,0.1473658900682865,343
27.0,4.0,2.0,266,0.14775978394880207,43017
27.0,4.0,2.0,266,0.13207921566511677,63230
27.0,4.0,2.0,266,0.126215218835953,4683
27.0,4.0,2.0,266,0.1167861551276736,43006
27.0,4.0,2.0,266,0.1137755369626995,224
28.0,4.0,2.0,11020,0.24962102569772945,38606
28.0,4.0,2.0,11020,0.19419347494333683,140632
28.0,4.0,2.0,11020,0.17392125832538916,64624
28.0,4.0,2.0,11020,0.17337112467346885,70609
28.0,4.0,2.0,11020,0.16898141934377664,255843
29.0,4.0,2.0,1725,0.18798367327653376,89651
29.0,4.0,2.0,1725,0.16564572784150916,11897
29.0,4.0,2.0,1725,0.15550436000557832,52633
29.0,4.0,2.0,1725,0.14877212049728283,64651
29.0,4.0,2.0,1725,0.13898966686127606,233438
30.0,4.0,2.0,466,0.1621570469607425,139349
30.0,4.0,2.0,466,0.15934085803221887,101231
30.0,4.0,2.0,466,0.15798939763147873,42635
30.0,4.0,2.0,466,0.14977632992986506,28296
30.0,4.0,2.0,466,0.1454722303877586,57305
31.0,4.0,2.0,9552,0.18187384782709828,148371
31.0,4.0,2.0,9552,0.14911857226844016,11586
31.0,4.0,2.0,9552,0.1426460158199187,42635
31.0,4.0,2.0,9552,0.1352619692710264,82966
31.0,4.0,2.0,9552,0.13000854219261904,65317
32.0,4.0,2.0,11586,0.14911857226844016,9552
32.0,4.0,2.0,11586,0.12680109924281244,194485
32.0,4.0,2.0,11586,0.10419338189395483,28533
32.0,4.0,2.0,11586,0.10388024337478961,29960
32.0,4.0,2.0,11586,0.09676944037567069,47397
33.0,4.0,2.0,16084,0.16068818704414176,36226
33.0,4.0,2.0,16084,0.1579003851461515,133919
33.0,4.0,2.0,16084,0.15116329509314927,43004
33.0,4.0,2.0,16084,0.13649472983736394,42635
33.0,4.0,2.0,16084,0.1330138225960481,32831
34.0,4.0,2.0,32611,0.16631926668520036,32328
34.0,4.0,2.0,32611,0.15299428332714035,63096
34.0,4.0,2.0,32611,0.13867146444030143,84278
34.0,4.0,2.0,32611,0.13050488168209454,38606
34.0,4.0,2.0,32611,0.12487950207485561,107592
35.0,4.0,2.0,10340,0.1417022545475169,22660
35.0,4.0,2.0,10340,0.13432942616434312,8420
35.0,4.0,2.0,10340,0.1297904326452502,25722
35.0,4.0,2.0,10340,0.12822656321003917,104242
35.0,4.0,2.0,10340,0.12758508074930855,90590
36.0,4.0,2.0,10882,0.1315268069758179,16153
36.0,4.0,2.0,10882,0.1247426123653246,47397
36.0,4.0,2.0,10882,0.12043605643464411,4683
36.0,4.0,2.0,10882,0.11986424149979583,2576
36.0,4.0,2.0,10882,0.11932422375280272,57305
37.0,4.0,2.0,396,0.1783992859664653,43004
37.0,4.0,2.0,396,0.15047631747786838,133919
37.0,4.0,2.0,396,0.14491435046108933,77915
37.0,4.0,2.0,396,0.14491093303174918,34857
37.0,4.0,2.0,396,0.13775252041643804,76777
38.0,4.0,2.0,15171,0.1541779013467989,76117
38.0,4.0,2.0,15171,0.14557351745823416,113843
38.0,4.0,2.0,15171,0.14518649357003263,91583
38.0,4.0,2.0,15171,0.1422393181041399,42694
38.0,4.0,2.0,15171,0.1411281234713485,92287
39.0,4.0,2.0,5854,0.11538099233184261,94798
39.0,4.0,2.0,5854,0.11332607871107721,85285
39.0,4.0,2.0,5854,0.10584814957225029,42218
39.0,4.0,2.0,5854,0.10494789923290873,64983
39.0,4.0,2.0,5854,0.09972007236858782,21950
40.0,4.0,2.0,506,0.14595275321743878,44444
40.0,4.0,2.0,506,0.13320846824795574,98136
40.0,4.0,2.0,506,0.12664294037020105,57305
40.0,4.0,2.0,506,0.12475340628382023,43029
40.0,4.0,2.0,506,0.12215062507378315,20108
41.0,4.0,2.0,37916,0.1663553716481568,44140
